nComp,minbigul,minbigul_m,xpg
10,0.000060,0.025301,0.000051
11,0.000064,0.032339,0.000053
12,0.000085,0.036710,0.000054
13,0.000078,0.049623,0.000054
14,0.000082,0.069963,0.000060
15,0.000088,0.083166,0.000063
16,0.000097,0.100675,0.000072
17,0.000105,0.126773,0.000071
18,0.000116,0.152144,0.000071
19,0.000126,0.203618,0.000069
20,0.000133,0.233385,0.000075
21,0.000148,0.269245,0.000072
22,0.000153,0.296669,0.000075
23,0.000170,0.367358,0.000078
24,0.000181,0.402013,0.000079
25,0.000190,0.463761,0.000084
26,0.000192,0.541609,0.000086
27,0.000187,0.628266,0.000085
28,0.000195,0.696028,0.000095
29,0.000219,0.773002,0.000093
30,0.000220,0.838318,0.000095
31,0.000239,0.933675,0.000086
32,0.000279,1.024658,0.000088
50,0.000558,4.077856,0.000144
100,0.002122,,0.000265
200,0.008176,,0.000512
500,0.046063,,0.001433
1000,0.182573,,0.004647
1500,0.405168,,0.007785
2000,0.722827,,0.011903
2500,1.203753,,0.011855
3000,1.882264,,0.012096
5000,4.939832,,0.023064
10000,,,0.060236
