nComp,minbigul,minbigul_m,xpg
10,0.000053,0.000058,0.000038
11,0.000058,0.000062,0.000043
12,0.000066,0.000076,0.000044
13,0.000075,0.000078,0.000046
14,0.000082,0.000082,0.000049
15,0.000090,0.000088,0.000048
16,0.000100,0.000101,0.000053
17,0.000105,0.000097,0.000057
18,0.000111,0.000106,0.000054
19,0.000118,0.000102,0.000053
20,0.000129,0.000107,0.000056
21,0.000137,0.000111,0.000060
22,0.000146,0.000112,0.000057
23,0.000159,0.000128,0.000062
24,0.000169,0.000129,0.000066
25,0.000172,0.000137,0.000064
26,0.000165,0.000136,0.000061
27,0.000169,0.000139,0.000059
28,0.000182,0.000143,0.000060
29,0.000193,0.000148,0.000061
30,0.000207,0.000143,0.000062
31,0.000216,0.000129,0.000066
32,0.000230,0.000133,0.000064
50,0.000538,0.000220,0.000100
100,0.002118,0.000484,0.000213
200,0.007886,0.000906,0.000403
500,0.045746,0.002107,0.000994
1000,0.179225,0.004208,0.002138
1500,0.406850,0.006824,0.003874
2000,0.727484,0.008500,0.005605
2500,1.159286,0.010195,0.008858
3000,1.767413,0.015750,0.009190
5000,,0.023606,0.018296
10000,,0.047646,0.045405
