nComp,minbigul,minbigul_m,xpg
10,0.000137,0.018694,0.000114
11,0.000131,0.024697,0.000104
12,0.000163,0.028792,0.000137
13,0.000191,0.033554,0.000143
14,0.000225,0.043030,0.000168
15,0.000286,0.053937,0.000171
16,0.000325,0.064290,0.000197
17,0.000332,0.078318,0.000208
18,0.000433,0.092548,0.000222
19,0.000432,0.109902,0.000246
20,0.000486,0.130425,0.000264
21,0.000566,0.156792,0.000325
22,0.000619,0.181139,0.000332
23,0.000700,0.217318,0.000331
24,0.000801,0.237169,0.000372
25,0.000861,0.271354,0.000398
26,0.000946,0.302902,0.000412
27,0.001087,0.384165,0.000452
28,0.001169,0.408663,0.000480
29,0.001225,0.418995,0.000523
30,0.001182,0.468206,0.000569
31,0.001299,0.509335,0.000519
50,0.005117,2.253671,0.001505
100,0.033465,17.585904,0.007563
150,,29.277652,
175,,47.543405,
200,0.261817,135.967889,0.040981
300,0.839331,,0.119170
400,2.097823,,0.267766
500,3.797646,,0.487459
600,6.695546,,0.898317
700,10.269451,,1.401643
800,15.457246,,1.895882
900,22.929353,,2.561996
1000,30.747066,,3.553905
1100,42.341085,,4.872207
1200,,,6.002895
1300,,,7.451327
1400,,,9.714147
1500,,,11.373620
