nComp,minbigul,minbigul_m,xpg
10,0.000087,0.000080,0.000068
11,0.000100,0.000097,0.000075
12,0.000120,0.000102,0.000089
13,0.000130,0.000111,0.000100
14,0.000149,0.000128,0.000116
15,0.000178,0.000134,0.000127
16,0.000194,0.000150,0.000141
17,0.000202,0.000183,0.000154
18,0.000234,0.000196,0.000168
19,0.000267,0.000198,0.000185
20,0.000306,0.000215,0.000201
21,0.000343,0.000238,0.000218
22,0.000386,0.000243,0.000229
23,0.000558,0.000251,0.000248
24,0.000493,0.000265,0.000261
25,0.000795,0.000284,0.000283
26,0.000606,0.000294,0.000316
27,0.000747,0.000315,0.000332
28,0.000898,0.000326,0.000358
29,0.000995,0.000355,0.000336
30,0.000887,0.000364,0.000350
31,0.000981,0.000381,0.000368
50,0.003745,0.000905,0.001013
100,0.025102,0.003282,0.005806
200,0.189712,0.012300,0.028845
300,0.660965,0.023564,0.086014
400,1.610963,0.039484,0.186093
500,2.866441,0.062006,0.343566
600,4.945383,0.089393,0.573577
700,7.839461,0.122702,0.900639
800,12.228045,0.158548,1.278322
900,17.304648,0.203180,1.790282
1000,23.834360,0.248329,2.439767
1100,34.130443,0.300878,3.197390
1200,39.489031,0.371046,4.196987
1300,55.204083,0.418412,5.486054
1400,63.266700,0.485227,6.757920
1500,80.420920,0.556915,8.194629
2000,187.892188,1.000421,19.602649
2500,,1.583662,39.404510
3000,,2.343278,67.966812
3500,,3.195320,109.342194
4000,,4.302245,168.969610
4500,,5.401856,
5000,,6.600289,
6000,,9.980719,
7000,,14.302291,
8000,,18.080445,
9000,,23.792887,
10000,,29.346908,
20000,,142.623774,
