nComp,count_get,count_put,count_pg,count_xpg
10,1130,334,23488,334
11,1463,394,47035,394
12,1856,459,94134,459
13,2314,529,188337,529
14,2842,604,376748,604
15,3445,684,753575,684
16,4128,769,1507234,769
17,4896,859,3014557,859
18,5754,954,6029208,954
19,6707,1054,12058515,1054
20,7760,1159,24117134,1159
21,8918,1269,48234377,1269
22,10186,1384,96468868,1384
23,11569,1504,192937855,1504
24,13072,1629,385875834,1629
25,14700,1759,771751797,1759
26,16458,1894,,1894
27,18351,2034,,2034
28,20384,2179,,2179
29,22562,2329,,2329
30,24890,2484,,2484
31,27373,2644,,2644
50,110650,6634,,6634
100,858800,25759,,25759
200,6767600,101509,,101509
300,22726400,227259,,227259
400,53735200,403009,,403009
500,104794000,628759,,628759
600,180902800,904509,,904509
700,287061600,1230259,,1230259
800,428270400,1606009,,1606009
900,609529200,2031759,,2031759
1000,,2507509,,2507509
1500,,5636259,,5636259
2000,,10015009,,10015009
2500,,15643759,,15643759
3000,,22522509,,22522509
4000,,40030009,,40030009
5000,,62537509,,62537509
6000,,90045009,,90045009
7000,,122552509,,122552509
8000,,160060009,,160060009
9000,,202567509,,202567509
10000,,250075009,,250075009
