nComp,count_get,count_put,count_pg,count_xpg
10,265,54,9211,54
11,319,59,18427,59
12,378,64,36859,64
13,442,69,73723,69
14,511,74,147451,74
15,585,79,294907,79
16,664,84,589819,84
17,748,89,1179643,89
18,837,94,2359291,94
19,931,99,4718587,99
20,1030,104,9437179,104
21,1134,109,18874363,109
22,1243,114,37748731,114
23,1357,119,75497467,119
24,1476,124,150994939,124
25,1600,129,301989883,129
30,2295,154,,154
50,6325,254,,254
100,25150,504,,504
200,100300,1004,,1004
500,625750,2504,,2504
1000,2501500,5004,,5004
1500,5627250,7504,,7504
2000,10003000,10004,,10004
2500,15628750,12504,,12504
3000,22504500,15004,,15004
4000,40006000,20004,,20004
5000,62507500,25004,,25004
6000,90009000,30004,,30004
7000,122510500,35004,,35004
8000,160012000,40004,,40004
9000,202513500,45004,,45004
10000,250015000,50004,,50004
