nComp,count_get,count_put,count_pg,count_xpg
10,100,21,3070,21
11,121,23,6142,23
12,144,25,12286,25
13,169,27,24574,27
14,196,29,49150,29
15,225,31,98302,31
16,256,33,196606,33
17,289,35,393214,35
18,324,37,786430,37
19,361,39,1572862,39
20,400,41,3145726,41
21,441,43,6291454,43
22,484,45,12582910,45
23,529,47,25165822,47
24,576,49,50331646,49
25,625,51,100663294,51
30,900,61,,61
50,2500,101,,101
100,10000,201,,201
200,40000,401,,401
500,250000,1001,,1001
1000,1000000,2001,,2001
1500,2250000,3001,,3001
2000,4000000,4001,,4001
2500,6250000,5001,,5001
3000,9000000,6001,,6001
4000,16000000,8001,,8001
5000,25000000,10001,,10001
6000,36000000,12001,,12001
7000,49000000,14001,,14001
8000,64000000,16001,,16001
9000,81000000,18001,,18001
10000,100000000,20001,,20001
