nComp,count_get,count_put,count_pg,count_xpg
10,40,54,94,54
15,60,79,139,79
20,80,104,184,104
25,100,129,229,129
30,120,154,274,154
50,200,254,454,254
100,400,504,904,504
200,800,1004,1804,1004
500,2000,2504,4504,2504
1000,4000,5004,9004,5004
1500,6000,7504,13504,7504
2000,8000,10004,18004,10004
2500,10000,12504,22504,12504
5000,20000,25004,45004,25004
10000,40000,50004,90004,50004
20000,80000,100004,180004,100004
30000,120000,150004,270004,150004
40000,160000,200004,360004,200004
50000,200000,250004,450004,250004
60000,240000,300004,540004,300004
70000,280000,350004,630004,350004
80000,320000,400004,720004,400004
90000,360000,450004,810004,450004
100000,400000,500004,900004,500004
