nComp,minbigul,minbigul_m,xpg
10,0.000227,0.006783,0.000144
11,0.000263,0.007970,0.000169
12,0.000335,0.008933,0.000192
13,0.000408,0.009861,0.000234
14,0.000501,0.011131,0.000255
15,0.000595,0.012009,0.000296
16,0.000682,0.012392,0.000340
17,0.000840,0.013933,0.000390
18,0.000882,0.016665,0.000441
19,0.001033,0.019387,0.000443
20,0.001196,0.022412,0.000487
21,0.001354,0.026358,0.000536
22,0.001543,0.031673,0.000586
23,0.001711,0.035770,0.000644
24,0.001919,0.041422,0.000703
25,0.002213,0.048837,0.000761
26,0.002371,0.051580,0.000813
27,0.002247,0.058099,0.000870
28,0.002736,0.064047,0.000990
29,0.002802,0.073287,0.001024
30,0.003099,0.081406,0.001016
31,0.003393,0.095852,0.001017
32,0.003749,0.104448,0.001087
50,0.012739,0.278853,0.003547
100,0.093726,1.811170,0.017068
200,0.719383,6.877302,0.103700
500,10.849323,32.102502,1.298178
1000,95.537848,111.165424,9.811179
1500,,,33.769553
2000,,,86.754212
