nComp,minbigul,minbigul_m,xpg
10,0.000024,0.000056,0.000031
11,0.000027,0.000060,0.000033
12,0.000165,0.000076,0.000033
13,0.000032,0.000079,0.000040
14,0.000037,0.000089,0.000039
15,0.000040,0.000101,0.000040
16,0.000039,0.000133,0.000046
17,0.000042,0.000126,0.000048
18,0.000043,0.000159,0.000051
19,0.000045,0.000158,0.000049
20,0.000049,0.000171,0.000051
21,0.000052,0.000184,0.000057
22,0.000053,0.000201,0.000057
23,0.000057,0.000212,0.000058
24,0.000061,0.000250,0.000063
25,0.000064,0.000244,0.000063
26,0.000067,0.000280,0.000072
27,0.000070,0.000286,0.000072
28,0.000076,0.000322,0.000075
29,0.000085,0.000337,0.000082
30,0.000085,0.000342,0.000071
31,0.000090,0.000332,0.000072
32,0.000093,0.000339,0.000074
50,0.000204,0.001071,0.000156
100,0.000759,0.006671,0.000531
200,0.002944,0.045201,0.002036
500,0.015895,0.569867,0.010768
1000,0.057820,4.209786,0.040424
1500,0.128349,13.660707,0.086092
2000,0.227092,32.335499,0.154789
2500,0.362188,62.865804,0.237204
3000,0.514622,107.328797,0.346781
5000,1.445937,,0.976095
10000,5.768611,,3.941606
20000,22.666506,,16.112042
30000,50.979853,,38.138715
40000,91.207568,,73.954950
