nComp,minbigul,minbigul_m,xpg
10,0.000023,0.000090,0.000025
11,0.000032,0.000171,0.000025
12,0.000028,0.000108,0.000028
13,0.000029,0.000117,0.000029
14,0.000034,0.000114,0.000056
15,0.000033,0.000117,0.000034
16,0.000034,0.000124,0.000033
17,0.000037,0.000130,0.000034
18,0.000047,0.000133,0.000043
19,0.000037,0.000134,0.000035
20,0.000040,0.000135,0.000039
21,0.000039,0.000142,0.000032
22,0.000038,0.000152,0.000032
23,0.000039,0.000159,0.000037
24,0.000041,0.000157,0.000040
25,0.000042,0.000166,0.000035
26,0.000045,0.000172,0.000038
27,0.000048,0.000180,0.000039
28,0.000048,0.000223,0.000038
29,0.000049,0.000194,0.000040
30,0.000044,0.000203,0.000065
31,0.000044,0.000207,0.000044
32,0.000046,0.000222,0.000044
50,0.000079,0.000368,0.000063
100,0.000218,0.000848,0.000117
200,0.000672,0.002171,0.000226
500,0.003555,0.009792,0.000532
1000,0.013431,0.030678,0.000939
1500,0.030391,0.056462,0.003863
2000,0.056462,0.094612,0.004402
2500,0.083536,0.146647,0.004723
5000,0.335015,0.539371,0.010981
10000,1.278930,2.265530,0.028652
20000,5.346179,9.658600,0.064096
30000,,,0.100523
40000,,,0.134834
50000,,,0.191482
