nComp,minbigul,minbigul_m,xpg
10,0.000015,0.000047,0.000015
11,0.000018,0.000049,0.000015
12,0.000017,0.000059,0.000014
13,0.000018,0.000056,0.000016
14,0.000021,0.000057,0.000015
15,0.000025,0.000059,0.000014
16,0.000020,0.000057,0.000017
17,0.000019,0.000061,0.000016
18,0.000018,0.000066,0.000015
19,0.000019,0.000069,0.000015
20,0.000019,0.000070,0.000016
21,0.000020,0.000072,0.000016
22,0.000020,0.000072,0.000014
23,0.000021,0.000076,0.000016
24,0.000022,0.000079,0.000014
25,0.000022,0.000082,0.000015
26,0.000023,0.000087,0.000015
27,0.000025,0.000087,0.000017
28,0.000024,0.000090,0.000016
29,0.000023,0.000091,0.000016
30,0.000022,0.000088,0.000017
31,0.000024,0.000085,0.000025
32,0.000024,0.000087,0.000019
50,0.000046,0.000159,0.000024
100,0.000149,0.000467,0.000031
200,0.000533,0.001469,0.000055
500,0.003341,0.007453,0.000139
1000,0.013181,0.025573,0.000284
1500,0.030246,0.049845,0.000413
2000,0.052840,0.086052,0.000515
2500,0.084138,0.131651,0.000613
5000,0.328297,0.516798,0.001268
10000,1.308851,2.209748,0.003820
20000,5.351176,9.106928,0.007731
30000,,,0.013147
40000,,,0.018764
50000,,,0.026597
