nComp,minbigul,pg,cpg,kpg,xpg
10,0.119308472,0.468948364,0.133155823,0.129333496,0.128646851
11,0.119651794,0.820556641,0.136726379,0.130729675,0.13004303
12,0.120018005,1.523727417,0.140846252,0.132171631,0.131484985
13,0.120407104,2.930023193,0.145561218,0.133659363,0.132972717
14,0.120819092,5.74256897,0.150917053,0.135192871,0.134506226
15,0.121253967,11.36761475,0.156959534,0.136772156,0.13608551
16,0.121711731,22.61766052,0.163734436,0.138397217,0.137710571
17,0.122192383,45.1177063,0.171287537,0.140068054,0.139381409
18,0.122695923,90.11775208,0.179664612,0.141784668,0.141098022
19,0.123222351,180.1177979,0.188911438,0.143547058,0.142860413
20,0.123771667,360.1178436,0.199073792,0.145355225,0.144668579
21,0.124343872,720.1178894,0.210197449,0.147209167,0.146522522
22,0.124938965,1440.117935,0.222328186,0.149108887,0.148422241
23,0.125556946,2880.117981,0.23551178,0.151054382,0.150367737
24,0.126197815,5760.118027,0.249794006,0.153045654,0.152359009
25,0.126861572,11520.11807,0.265220642,0.155082703,0.154396057
26,0.127548218,23040.11812,0.281837463,0.157165527,0.156478882
27,0.128257751,46080.11816,0.299690247,0.159294128,0.158607483
28,0.128990173,92160.11821,0.318824768,0.161468506,0.16078186
29,0.129745483,184320.1183,0.339286804,0.16368866,0.163002014
50,0.150894165,,1.156715393,0.22088623,0.220199585
100,0.241874695,,8.032325745,0.438323975,0.437637329
200,0.595497131,,62.18119049,1.216522217,1.215835571
500,3.029655457,,959.7962418,6.297698975,6.297012329
1000,11.66422272,,7652.964882,23.92160034,23.9209137
1500,26.02083588,,25801.66941,52.98959351,52.98890686
2000,46.09949493,,61127.95573,93.50167847,93.50099182
2500,71.90019989,,119353.8697,145.4578552,145.4571686
3000,103.4229507,,206201.4573,208.8581238,208.8574371
5000,286.7344131,,,576.900116,576.8994293
10000,1145.556282,,,2298.091522,2298.090836
20000,4579.813789,,,9173.701874,9173.701187
30000,10302.88966,,,20626.94894,20626.94826
40000,18314.78388,,,36657.83273,36657.83205
50000,28615.49647,,,57266.35324,57266.35255
60000,41205.02741,,,82452.51047,82452.50978
70000,56083.37672,,,112216.3044,112216.3037
80000,73250.54438,,,146557.7351,146557.7344
90000,92706.5304,,,,
100000,114451.3348,,,,
