nComp,minbigul,pg,cpg,kpg,xpg
10,0.120079041,0.190338135,0.12122345,0.12184906,0.121704102
15,0.120193481,2.370140076,0.121871948,0.122802734,0.122657776
20,0.120307922,72.12025452,0.122520447,0.123756409,0.12361145
25,0.120422363,2304.120369,0.123168945,0.124710083,0.124565125
30,0.120536804,,0.123817444,0.125663757,0.125518799
50,0.120994568,,0.126411438,0.129478455,0.129333496
100,0.122138977,,0.132896423,0.139015198,0.138870239
200,0.124427795,,0.145866394,0.158088684,0.157943726
500,0.13129425,,0.184776306,0.215309143,0.215164185
1000,0.142738342,,0.24962616,0.310676575,0.310531616
1500,0.154182434,,0.314476013,0.406044006,0.405899048
2000,0.165626526,,0.379325867,0.501411438,0.501266479
2500,0.177070618,,0.44417572,0.59677887,0.596633911
5000,0.234291077,,0.768424988,1.073616028,1.073471069
10000,0.348731995,,1.416923523,2.027290344,2.027145386
20000,0.577613831,,2.713920593,3.934638977,3.934494019
30000,0.806495667,,4.010917664,5.84198761,5.841842651
40000,1.035377502,,5.307914734,7.749336243,7.749191284
50000,1.264259338,,6.604911804,9.656684875,9.656539917
100000,2.408668518,,13.08989716,,
