nComp,minbigul,pg,cpg,kpg,xpg
10,0.121040344,0.123893738,0.128334045,0.132087708,0.128700256
15,0.121612549,0.125839233,0.134056091,0.139526367,0.133049011
20,0.122184753,0.127784729,0.140922546,0.148109436,0.137397766
25,0.122756958,0.129730225,0.148933411,0.157836914,0.141746521
30,0.123329163,0.13167572,0.158088684,0.168708801,0.146095276
50,0.125617981,0.139457703,0.20615387,0.223640442,0.163490295
100,0.131340027,0.158912659,0.406425476,0.441078186,0.206977844
200,0.142784119,0.197822571,1.150291443,1.219276428,0.293952942
500,0.177116394,0.314552307,6.128471375,6.300453186,0.554878235
1000,0.234336853,0.509101868,23.58071136,23.92435455,0.989753723
1500,0.291557312,0.703651428,52.47704315,52.99234772,1.424629211
2000,0.348777771,0.898200989,92.81746674,93.50443268,1.8595047
2500,0.40599823,1.092750549,144.6019821,145.4606094,2.294380188
5000,0.692100525,2.065498352,575.185936,576.9028702,4.468757629
10000,1.264305115,4.010993958,2294.660728,2298.094276,8.817512512
20000,2.408714294,7.901985168,9166.837852,9173.704628,17.51502228
30000,3.553123474,11.79297638,20616.6517,20626.9517,26.21253204
40000,4.697532654,15.68396759,,,34.91004181
50000,5.841941833,19.5749588,,,43.60755157
100000,11.56398773,39.02991486,,,87.0951004
