nComp,minbigul,minbigul_m,xpg
10,0.000088,0.006503,0.000167
11,0.000108,0.007586,0.000169
12,0.000116,0.008951,0.000190
13,0.000129,0.009699,0.000221
14,0.000155,0.011040,0.000259
15,0.000162,0.010599,0.000300
16,0.000197,0.012658,0.000347
17,0.000215,0.014182,0.000369
18,0.000218,0.015469,0.000408
19,0.000245,0.017271,0.000450
20,0.000248,0.019189,0.000508
21,0.000279,0.021596,0.000542
22,0.000290,0.023381,0.000589
23,0.000318,0.025650,0.000625
24,0.000340,0.027756,0.000700
25,0.000332,0.030969,0.000754
26,0.000321,0.032646,0.000805
27,0.000343,0.035226,0.000907
28,0.000367,0.038004,0.000952
29,0.000395,0.039163,0.001065
30,0.000417,0.043408,0.001114
31,0.000483,0.045261,0.001195
32,0.000499,0.048682,0.001274
50,0.001231,0.120877,0.005092
100,0.004810,0.492208,0.022536
200,0.018415,1.957169,0.121772
500,0.114920,12.319702,1.353609
1000,0.450143,50.355212,9.868558
1500,1.038464,113.200592,33.338145
2000,2.058488,,81.925915
2500,3.063490,,
3000,4.693473,,
5000,13.926318,,
10000,64.090893,,
