nComp,minbigul,minbigul_m,xpg
10,0.000024,0.015617,0.000033
11,0.000029,0.022041,0.000034
12,0.000026,0.026944,0.000036
13,0.000026,0.030928,0.000038
14,0.000028,0.040440,0.000063
15,0.000027,0.050653,0.000046
16,0.000029,0.062178,0.000043
17,0.000031,0.076453,0.000045
18,0.000029,0.091572,0.000042
19,0.000028,0.108621,0.000046
20,0.000048,0.128683,0.000062
21,0.000031,0.153724,0.000046
22,0.000030,0.174724,0.000050
23,0.000032,0.205862,0.000049
24,0.000031,0.241966,0.000059
25,0.000030,0.260377,0.000053
26,0.000043,0.306008,0.000051
27,0.000029,0.339703,0.000053
28,0.000029,0.382473,0.000057
29,0.000030,0.440018,0.000056
30,0.000032,0.480302,0.000050
31,0.000034,0.527861,0.000050
32,0.000033,0.560665,0.000051
50,0.000047,2.207286,0.000070
100,0.000087,,0.000138
200,0.000157,,0.000267
500,0.000397,,0.000664
1000,0.000808,,0.001345
1500,0.001215,,0.003719
2000,0.001663,,0.004987
2500,0.003745,,0.007163
3000,0.005002,,0.009097
5000,0.006225,,0.015485
10000,0.014354,,0.031282
20000,0.033871,,0.073093
30000,0.054907,,0.114133
40000,0.076068,,0.150497
50000,0.101405,,0.215966
