nComp,minbigul,pg,cpg,kpg,xpg
10,0.000087,0.001507,0.000090,0.000070,0.000068
11,0.000100,0.002950,0.000110,0.000086,0.000075
12,0.000120,0.005251,0.000137,0.000084,0.000089
13,0.000130,0.009070,0.000137,0.000097,0.000100
14,0.000149,0.016471,0.000159,0.000101,0.000116
15,0.000178,0.027587,0.000184,0.000120,0.000127
16,0.000194,0.052931,0.000186,0.000108,0.000141
17,0.000202,0.106054,0.000209,0.000117,0.000154
18,0.000234,0.214795,0.000236,0.000135,0.000168
19,0.000267,0.408778,0.000274,0.000150,0.000185
20,0.000306,0.830689,0.000322,0.000157,0.000201
21,0.000343,1.669778,0.000358,0.000175,0.000218
22,0.000386,3.232300,0.000488,0.000198,0.000229
23,0.000558,6.573976,0.000490,0.000215,0.000248
24,0.000493,13.199205,0.000521,0.000223,0.000261
25,0.000795,26.097432,0.000582,0.000253,0.000283
26,0.000606,52.617164,0.000788,0.000279,0.000316
27,0.000747,103.960491,0.000894,0.000365,0.000332
28,0.000898,210.829688,0.000999,0.000370,0.000358
29,0.000995,422.411985,0.001005,0.000338,0.000336
30,0.000887,839.843820,0.001047,0.000349,0.000350
31,0.000981,1669.390035,0.001096,0.000382,0.000368
50,0.003745,,0.005415,0.001015,0.001013
100,0.025102,,0.056133,0.005645,0.005806
200,0.189712,,0.802917,0.029419,0.028845
300,0.660965,,3.858644,0.083487,0.086014
400,1.610963,,11.656886,0.185100,0.186093
500,2.866441,,27.810463,0.343426,0.343566
600,4.945383,,57.154635,0.564759,0.573577
700,7.839461,,107.534263,0.943228,0.900639
800,12.228045,,184.694592,1.336043,1.278322
900,17.304648,,293.909055,1.974228,1.790282
1000,23.834360,,442.025230,2.413471,2.439767
1100,34.130443,,623.419877,3.364548,3.197390
1200,39.489031,,897.302827,4.335110,4.196987
1300,55.204083,,1225.034777,5.230082,5.486054
1400,63.266700,,1668.579002,6.471668,6.757920
1500,80.420920,,,8.055326,8.194629
2000,187.892188,,,19.013042,19.602649
2500,372.993157,,,39.820162,39.404510
3000,666.831733,,,67.711552,67.966812
3500,1053.519554,,,109.319434,109.342194
4000,1596.803200,,,169.117071,168.969610
4500,,,,244.827500,244.915662
5000,,,,342.761576,340.108800
6000,,,,598.465034,599.925381
7000,,,,960.984876,962.674814
8000,,,,1484.006413,1476.176628
