nComp,minbigul,pg,cpg,kpg,xpg
10,0.000022,0.000505,0.000040,0.000022,0.000026
11,0.000023,0.000979,0.000051,0.000034,0.000026
12,0.000034,0.002015,0.000070,0.000031,0.000029
13,0.000026,0.003542,0.000067,0.000040,0.000033
14,0.000029,0.006255,0.000078,0.000049,0.000044
15,0.000031,0.011004,0.000086,0.000036,0.000055
16,0.000031,0.020298,0.000097,0.000038,0.000040
17,0.000034,0.034231,0.000111,0.000039,0.000066
18,0.000036,0.064860,0.000123,0.000031,0.000038
19,0.000039,0.130318,0.000141,0.000036,0.000042
20,0.000040,0.257420,0.000158,0.000046,0.000044
21,0.000042,0.506994,0.000203,0.000040,0.000045
22,0.000044,1.041861,0.000210,0.000041,0.000048
23,0.000048,2.123301,0.000227,0.000043,0.000050
24,0.000050,4.165730,0.000254,0.000045,0.000053
25,0.000053,8.188949,0.000279,0.000046,0.000057
26,0.000057,16.218233,0.000334,0.000048,0.000058
27,0.000060,33.102645,0.000361,0.000052,0.000062
28,0.000065,65.217003,0.000392,0.000054,0.000062
29,0.000071,131.352514,0.000438,0.000058,0.000061
30,0.000071,261.965271,0.000437,0.000060,0.000058
31,0.000076,521.417656,0.000443,0.000062,0.000062
32,0.000079,,0.000479,0.000064,0.000065
50,0.000171,,0.001679,0.000135,0.000132
100,0.000616,,0.010930,0.000468,0.000479
200,0.002174,,0.083536,0.001825,0.002000
500,0.013147,,1.315685,0.009343,0.009173
1000,0.051124,,11.648507,0.033841,0.033053
1500,0.111273,,41.728200,0.074177,0.074701
2000,0.197886,,102.043252,0.130097,0.129614
2500,0.304295,,205.760907,0.195305,0.196751
3000,0.460500,,356.960371,0.298749,0.298422
5000,1.250692,,,0.777742,0.771589
10000,5.035831,,,3.180869,3.165424
20000,19.880227,,,13.671749,13.059432
30000,44.234560,,,31.779256,31.276799
40000,81.585452,,,58.780343,59.150473
50000,128.354026,,,98.676973,99.691268
60000,179.971962,,,154.564047,151.367264
70000,248.349547,,,229.237996,218.051421
80000,325.242041,,,319.111132,301.637659
90000,412.088663,,,,
100000,509.880529,,,,
