nComp,minbigul,pg,cpg,kpg,xpg
10,0.000015,0.000109,0.000013,0.000013,0.000013
15,0.000015,0.003224,0.000014,0.000012,0.000012
20,0.000016,0.063075,0.000015,0.000014,0.000012
25,0.000022,1.640078,0.000017,0.000019,0.000015
30,0.000028,53.193014,0.000019,0.000016,0.000016
50,0.000059,,0.000030,0.000021,0.000049
100,0.000199,,0.000079,0.000030,0.000031
200,0.000699,,0.000251,0.000049,0.000053
500,0.004024,,0.001423,0.000130,0.000135
1000,0.015433,,0.005232,0.000273,0.000267
1500,0.028750,,0.011247,0.000448,0.000435
2000,0.050650,,0.017212,0.000546,0.000524
2500,0.080116,,0.030631,0.000633,0.000643
5000,0.314125,,0.107991,0.001256,0.001233
10000,1.271421,,0.410184,0.002564,0.002509
20000,5.108527,,1.634826,0.006243,0.006260
30000,11.609834,,3.710011,0.010474,0.010289
40000,20.746923,,6.820228,0.014557,0.015881
50000,32.536046,,10.419302,0.021023,0.021510
100000,131.115439,,42.134401,,
