nComp,minbigul,pg,cpg,kpg,xpg
10,0.000014,0.000015,0.000023,0.000025,0.000026
11,0.000013,0.000017,0.000024,0.000031,0.000021
12,0.000015,0.000015,0.000026,0.000028,0.000022
13,0.000016,0.000015,0.000028,0.000039,0.000023
14,0.000015,0.000018,0.000029,0.000033,0.000022
15,0.000016,0.000017,0.000031,0.000036,0.000024
16,0.000017,0.000017,0.000033,0.000036,0.000025
17,0.000017,0.000018,0.000034,0.000037,0.000026
18,0.000018,0.000018,0.000036,0.000037,0.000025
19,0.000016,0.000016,0.000035,0.000043,0.000024
20,0.000016,0.000016,0.000040,0.000042,0.000025
21,0.000018,0.000018,0.000042,0.000046,0.000026
22,0.000016,0.000024,0.000044,0.000051,0.000028
23,0.000016,0.000018,0.000047,0.000052,0.000027
24,0.000017,0.000019,0.000051,0.000053,0.000027
25,0.000017,0.000019,0.000084,0.000055,0.000028
26,0.000018,0.000022,0.000055,0.000058,0.000029
27,0.000018,0.000021,0.000058,0.000062,0.000029
28,0.000018,0.000021,0.000060,0.000065,0.000031
29,0.000019,0.000021,0.000060,0.000062,0.000032
30,0.000018,0.000020,0.000066,0.000062,0.000027
31,0.000018,0.000019,0.000067,0.000063,0.000026
32,0.000017,0.000022,0.000067,0.000068,0.000027
50,0.000022,0.000031,0.000120,0.000133,0.000038
100,0.000037,0.000052,0.000449,0.000469,0.000069
200,0.000067,0.000095,0.001660,0.001795,0.000151
500,0.000187,0.000261,0.009339,0.009163,0.000342
1000,0.000322,0.000488,0.033485,0.033334,0.000709
1500,0.000417,0.000656,0.073800,0.074739,0.000979
2000,0.000601,0.000830,0.128865,0.129843,0.001361
2500,0.000712,0.001021,0.207620,0.216496,0.002936
3000,0.001183,0.001720,0.309750,0.320500,0.004558
5000,0.001452,0.002399,0.854089,0.844300,0.006112
10000,0.002931,0.005489,3.610015,3.531528,0.010989
20000,0.007279,0.010331,16.706415,16.998741,0.027369
30000,0.011937,0.015841,39.664081,41.588805,0.054997
40000,0.014222,0.023294,80.270518,89.502830,0.067183
50000,0.021719,0.030970,,150.538113,0.089990
60000,0.027901,0.045385,,245.564773,0.115501
70000,0.029814,0.048825,,,0.135911
80000,0.031233,0.059379,,,0.170942
90000,0.033170,0.065150,,,0.193372
100000,0.040496,0.074336,,,0.232583
