nComp,minbigul,pg,cpg,kpg,xpg
10,0.000012,0.000012,0.000013,0.000012,0.000013
15,0.000016,0.000012,0.000012,0.000012,0.000024
20,0.000011,0.000013,0.000014,0.000014,0.000014
25,0.000012,0.000012,0.000013,0.000015,0.000014
30,0.000013,0.000013,0.000013,0.000015,0.000012
50,0.000014,0.000016,0.000023,0.000019,0.000015
100,0.000018,0.000022,0.000028,0.000031,0.000027
200,0.000028,0.000035,0.000041,0.000062,0.000040
500,0.000069,0.000097,0.000128,0.000128,0.000108
1000,0.000147,0.000196,0.000226,0.000293,0.000231
1500,0.000204,0.000274,0.000379,0.000465,0.000343
2000,0.000293,0.000396,0.000434,0.000587,0.000418
2500,0.000336,0.000446,0.000516,0.000781,0.000515
5000,0.000679,0.000901,0.001026,0.001366,0.001017
10000,0.001373,0.001745,0.001992,0.002620,0.001994
20000,0.002718,0.003415,0.005808,0.009023,0.006965
30000,0.004623,0.007525,0.011389,0.013359,0.008823
40000,0.005515,0.011381,0.013158,0.016436,0.013035
50000,0.006444,0.012572,0.017793,0.023348,0.014260
100000,0.015545,0.022577,,,0.033467
