nComp,minbigul,minbigul_m,xpg
10,0.000061,0.000104,0.000042
11,0.000069,0.000242,0.000048
12,0.000073,0.000153,0.000050
13,0.000078,0.000172,0.000053
14,0.000089,0.000216,0.000064
15,0.000115,0.000208,0.000062
16,0.000105,0.000233,0.000064
17,0.000113,0.000273,0.000064
18,0.000125,0.000290,0.000062
19,0.000134,0.000313,0.000116
20,0.000138,0.000334,0.000078
21,0.000152,0.000366,0.000074
22,0.000179,0.000392,0.000082
23,0.000180,0.000460,0.000080
24,0.000190,0.000503,0.000082
25,0.000205,0.000538,0.000090
26,0.000220,0.000575,0.000112
27,0.000227,0.000553,0.000095
28,0.000245,0.000579,0.000096
29,0.000237,0.000617,0.000099
30,0.000239,0.000666,0.000103
31,0.000241,0.000711,0.000106
32,0.000257,0.000770,0.000096
50,0.000748,0.002265,0.000158
100,0.002372,0.013572,0.000448
200,0.011001,0.081690,0.003372
500,0.066218,0.818069,0.020138
1000,0.294998,6.547337,0.107669
1500,0.672300,23.043672,0.265431
2000,1.227964,54.845062,0.484132
2500,1.897536,,0.786619
3000,2.725686,,1.121691
5000,8.265674,,3.681603
10000,36.083729,,13.890627
