nComp,minbigul,minbigul_m,xpg
10,0.000105,0.000124,0.000087
11,0.000135,0.000144,0.000103
12,0.000161,0.000184,0.000120
13,0.000189,0.000200,0.000124
14,0.000269,0.000345,0.000143
15,0.000262,0.000250,0.000166
16,0.000322,0.000279,0.000178
17,0.000487,0.000316,0.000204
18,0.000395,0.000406,0.000269
19,0.000465,0.000365,0.000244
20,0.000489,0.000395,0.000268
21,0.000558,0.000426,0.000286
22,0.000628,0.000487,0.000296
23,0.000697,0.000542,0.000339
24,0.000813,0.000568,0.000360
25,0.000847,0.000603,0.000373
26,0.000927,0.000669,0.000400
27,0.001067,0.000714,0.000545
28,0.001096,0.000724,0.000478
29,0.001086,0.000867,0.000498
30,0.001193,0.000836,0.000533
31,0.001288,0.000930,0.000561
50,0.005054,0.002682,0.001611
100,0.033638,0.014351,0.010024
200,0.251887,0.080066,0.049181
300,0.807174,0.213535,0.127254
400,1.925832,0.459500,0.273470
500,3.689758,0.878054,0.508160
600,6.913277,1.455802,0.830606
700,10.215277,2.269453,1.258284
800,15.238072,3.354167,1.862716
900,21.579482,4.805101,2.604865
1000,30.339017,6.619594,3.475509
1100,,8.825152,4.613743
1200,,11.545897,5.884485
1300,,14.455833,7.548876
1400,,18.518140,9.087929
1500,,22.768949,11.305922
