nComp,minbigul,minbigul_m,xpg
10,0.000029,0.000108,0.000038
11,0.000033,0.000120,0.000043
12,0.000041,0.000137,0.000054
13,0.000038,0.000154,0.000048
14,0.000046,0.000159,0.000053
15,0.000046,0.000168,0.000055
16,0.000049,0.000180,0.000056
17,0.000052,0.000224,0.000063
18,0.000058,0.000226,0.000066
19,0.000059,0.000242,0.000069
20,0.000065,0.000252,0.000072
21,0.000069,0.000272,0.000077
22,0.000077,0.000288,0.000085
23,0.000077,0.000305,0.000094
24,0.000081,0.000327,0.000095
25,0.000088,0.000358,0.000098
26,0.000097,0.000360,0.000106
27,0.000097,0.000329,0.000107
28,0.000101,0.000410,0.000111
29,0.000121,0.000428,0.000118
30,0.000114,0.000490,0.000124
31,0.000121,0.000500,0.000145
32,0.000127,0.000546,0.000129
50,0.000284,0.001283,0.000258
100,0.001065,0.006455,0.000943
200,0.004035,0.034329,0.004510
500,0.026379,0.412093,0.024928
1000,0.112944,3.239571,0.107106
1500,0.265863,11.592487,0.256506
2000,0.487367,27.952344,0.473797
2500,0.821987,54.908247,0.856592
3000,1.185623,,1.215273
5000,3.416038,,3.197372
10000,13.888090,,12.950834
20000,65.830848,,60.046509
