nComp,minbigul,minbigul_m,xpg
10,0.000811,0.000790,0.000691
11,0.000776,0.000737,0.000701
12,0.000754,0.000799,0.000664
13,0.000826,0.000730,0.000704
14,0.000760,0.000719,0.000687
15,0.000734,0.000735,0.000709
16,0.000720,0.000716,0.000706
17,0.000752,0.000700,0.000687
18,0.000721,0.000676,0.000694
19,0.000726,0.000726,0.000721
20,0.000693,0.000704,0.000670
21,0.000705,0.000699,0.000709
22,0.000712,0.000715,0.000678
23,0.000757,0.000690,0.000696
24,0.000751,0.000694,0.000705
25,0.000731,0.000694,0.000695
26,0.000962,0.000698,0.000678
27,0.000765,0.000650,0.000728
28,0.000730,0.000593,0.000705
29,0.000754,0.000584,0.000705
30,0.000745,0.000607,0.000780
31,0.000785,0.000794,0.000709
32,0.000767,0.000607,0.000731
50,0.000868,0.000716,0.000870
100,0.001335,0.001124,0.001552
200,0.003583,0.002101,0.005005
500,0.019025,0.007635,0.020273
1000,0.069054,0.025297,0.066862
1500,0.151301,0.055414,0.137767
2000,0.273832,0.094145,0.242602
2500,0.441897,0.140806,0.384241
3000,0.671754,0.204997,0.545190
5000,1.797523,0.545959,1.523039
10000,6.919618,2.130380,6.086193
20000,27.571406,8.451033,25.241120
30000,,19.251043,
