nComp,minbigul,minbigul_m,xpg
10,0.000221,0.000127,0.000161
11,0.000283,0.000145,0.000263
12,0.000348,0.000165,0.000183
13,0.000434,0.000185,0.000213
14,0.000503,0.000215,0.000242
15,0.000671,0.000223,0.000296
16,0.000710,0.000260,0.000301
17,0.000815,0.000319,0.000321
18,0.000918,0.000319,0.000378
19,0.001063,0.000342,0.000414
20,0.001245,0.000378,0.000463
21,0.001377,0.000389,0.000500
22,0.001585,0.000424,0.000537
23,0.001756,0.000447,0.000572
24,0.001839,0.000470,0.000577
25,0.001861,0.000508,0.000577
26,0.002119,0.000552,0.000637
27,0.002303,0.000609,0.000700
28,0.002811,0.000620,0.000767
29,0.002810,0.000616,0.000814
30,0.003179,0.000592,0.000859
31,0.003384,0.000705,0.000924
32,0.003745,0.000672,0.001283
50,0.012536,0.001606,0.003341
100,0.094168,0.007266,0.017121
200,0.726736,0.033201,0.101492
500,11.502939,0.300868,1.363243
1000,92.415380,1.936713,9.983600
1500,,5.675424,34.299027
2000,,12.774557,82.545391
2500,,24.479505,
3000,,40.997367,
