nComp,minbigul,minbigul_m,xpg
10,0.000034,0.020753,0.000068
11,0.000037,0.026057,0.000045
12,0.000042,0.031153,0.000049
13,0.000043,0.036438,0.000056
14,0.000045,0.047260,0.000056
15,0.000049,0.059246,0.000058
16,0.000052,0.072360,0.000062
17,0.000055,0.085551,0.000068
18,0.000054,0.100667,0.000066
19,0.000059,0.115803,0.000069
20,0.000078,0.147310,0.000078
21,0.000068,0.167737,0.000086
22,0.000072,0.197212,0.000086
23,0.000081,0.222187,0.000086
24,0.000085,0.255051,0.000091
25,0.000091,0.286186,0.000096
26,0.000091,0.314021,0.000095
27,0.000096,0.358722,0.000095
28,0.000106,0.408167,0.000098
29,0.000112,0.485237,0.000102
30,0.000114,0.535209,0.000107
31,0.000109,0.576108,0.000111
32,0.000106,0.620279,0.000143
50,0.000223,2.302398,0.000281
100,0.000810,18.335731,0.001036
200,0.003088,141.354968,0.004069
500,0.018022,,0.018132
1000,0.068341,,0.064748
1500,0.149617,,0.133818
2000,0.260526,,0.243144
2500,0.440931,,0.384446
3000,0.617332,,0.555651
5000,1.794823,,1.493647
10000,6.735773,,5.990515
20000,28.987259,,25.656123
30000,63.700564,,61.987915
