nComp,minbigul,minbigul_m,xpg
10,0.000017,0.000037,0.000025
11,0.000018,0.000040,0.000026
12,0.000018,0.000067,0.000035
13,0.000018,0.000050,0.000026
14,0.000019,0.000053,0.000028
15,0.000025,0.000060,0.000030
16,0.000025,0.000066,0.000038
17,0.000019,0.000073,0.000030
18,0.000018,0.000081,0.000032
19,0.000018,0.000096,0.000037
20,0.000019,0.000090,0.000031
21,0.000018,0.000114,0.000032
22,0.000019,0.000115,0.000030
23,0.000019,0.000147,0.000034
24,0.000019,0.000229,0.000032
25,0.000020,0.000152,0.000038
26,0.000019,0.000150,0.000034
27,0.000019,0.000178,0.000037
28,0.000020,0.000202,0.000034
29,0.000020,0.000205,0.000033
30,0.000020,0.000208,0.000030
31,0.000019,0.000249,0.000033
32,0.000019,0.000269,0.000034
50,0.000024,0.000808,0.000049
100,0.000039,0.005294,0.000088
200,0.000071,0.030088,0.000182
500,0.000178,0.381979,0.000495
1000,0.000366,2.790838,0.000970
1500,0.000526,9.181224,0.001288
2000,0.000823,,0.001587
2500,0.001022,,0.003616
3000,0.001246,,0.003747
5000,0.001875,,0.007311
10000,0.003481,,0.014520
20000,0.009153,,0.030979
30000,0.017250,,0.062098
40000,0.020162,,0.078931
50000,0.021042,,0.103245
60000,0.028294,,0.134436
70000,0.032146,,0.171024
80000,0.037312,,0.210023
90000,0.041135,,0.231370
100000,0.045008,,0.247229
