nComp,minbigul,minbigul_m,xpg
10,0.000020,0.000084,0.000029
11,0.000023,0.000081,0.000030
12,0.000021,0.000081,0.000032
13,0.000023,0.000087,0.000032
14,0.000023,0.000100,0.000034
15,0.000023,0.000110,0.000037
16,0.000025,0.000118,0.000038
17,0.000025,0.000130,0.000039
18,0.000026,0.000129,0.000039
19,0.000026,0.000146,0.000038
20,0.000027,0.000157,0.000040
21,0.000027,0.000160,0.000045
22,0.000029,0.000182,0.000047
23,0.000027,0.000194,0.000046
24,0.000030,0.000207,0.000055
25,0.000032,0.000216,0.000054
26,0.000033,0.000239,0.000053
27,0.000034,0.000253,0.000053
28,0.000046,0.000253,0.000055
29,0.000031,0.000294,0.000076
30,0.000032,0.000287,0.000062
31,0.000032,0.000282,0.000063
32,0.000034,0.000304,0.000066
50,0.000062,0.000837,0.000110
100,0.000186,0.004909,0.000294
200,0.000585,0.031789,0.000808
500,0.007325,0.399721,0.011109
1000,0.044730,3.201893,0.045064
1500,0.120831,11.343971,0.122402
2000,0.222347,27.605307,0.225342
2500,0.377617,,0.370201
3000,0.533874,,0.547606
5000,1.658798,,1.584264
10000,7.082909,,6.529020
20000,26.530660,,26.277045
