nComp,minbigul,minbigul_m,xpg
10,0.000785,0.000720,0.000672
11,0.000773,0.000691,0.000683
12,0.000854,0.000712,0.000690
13,0.000757,0.000648,0.000713
14,0.000749,0.000667,0.000681
15,0.000752,0.000670,0.000656
16,0.000750,0.000665,0.000613
17,0.000682,0.000637,0.000620
18,0.000691,0.000685,0.000627
19,0.000699,0.000651,0.000606
20,0.000710,0.000631,0.000669
21,0.000686,0.000654,0.000644
22,0.000663,0.000635,0.000633
23,0.000647,0.000618,0.000622
24,0.000660,0.000614,0.000652
25,0.000627,0.000604,0.000629
26,0.000566,0.000628,0.000604
27,0.000546,0.000616,0.000643
28,0.000557,0.000611,0.000641
29,0.000541,0.000541,0.000626
30,0.000554,0.000529,0.000648
31,0.000661,0.000537,0.000648
32,0.000716,0.000547,0.000607
50,0.000643,0.000578,0.000619
100,0.000730,0.000677,0.000677
200,0.000736,0.000846,0.000766
500,0.000930,0.001366,0.001079
1000,0.001129,0.002255,0.001710
1500,0.001177,0.003268,0.003657
2000,0.001305,0.004014,0.004549
2500,0.001511,0.005366,0.005714
3000,0.001679,0.006217,0.005891
5000,0.002462,0.011604,0.007712
10000,0.006483,0.022957,0.017286
20000,0.012151,0.046339,0.041767
30000,0.018296,0.067575,0.069556
40000,0.022887,0.098065,0.100797
50000,0.029987,0.132515,0.125199
