nComp,minbigul,minbigul_m,xpg
10,0.000088,0.000117,0.000129
11,0.000110,0.000113,0.000156
12,0.000115,0.000138,0.000182
13,0.000143,0.000146,0.000215
14,0.000146,0.000173,0.000233
15,0.000169,0.000186,0.000253
16,0.000190,0.000208,0.000296
17,0.000204,0.000226,0.000326
18,0.000225,0.000225,0.000366
19,0.000234,0.000261,0.000395
20,0.000279,0.000279,0.000438
21,0.000279,0.000305,0.000473
22,0.000300,0.000384,0.000546
23,0.000330,0.000348,0.000525
24,0.000340,0.000368,0.000523
25,0.000369,0.000395,0.000575
26,0.000394,0.000436,0.000650
27,0.000420,0.000455,0.000691
28,0.000513,0.000473,0.000930
29,0.000418,0.000444,0.000816
30,0.000444,0.000457,0.000858
31,0.000456,0.000732,0.000941
32,0.000495,0.000571,0.000991
50,0.001195,0.001491,0.003272
100,0.004725,0.005366,0.017999
200,0.017901,0.017979,0.121249
500,0.111105,0.112350,1.437983
1000,0.455842,0.464094,10.274465
1500,1.137693,1.085749,33.446750
2000,1.993364,2.031295,80.768172
2500,3.166013,3.258521,
3000,4.645076,4.556409,
5000,13.208120,13.291286,
10000,66.292404,61.041791,
